(None 100, LEC 4, SU, 11:50PM, 11:51PM, bad coding practice)
(None 101, LEC 4, SU, 11:52PM, 11:53PM, bad coding practice)
(None 102, LEC 4, SU, 11:54PM, 11:55PM, bad coding practice)
(None 103, LEC 4, SU, 11:56PM, 11:57PM, bad coding practice)
(None 104, LEC 4, SU, 11:58PM, 11:59PM, bad coding practice)
(ACCT 100, LEC 1, MW, 9:30AM, 10:45AM, Syed Zain  ul Abidin)
(ACCT 100, LEC 2, MW, 11:00AM, 12:15PM, Syed Zain  ul Abidin)
(ACCT 100, LEC 3, MW, 3:30PM, 4:45PM, Syed Zain  ul Abidin)
(ACCT 100, LEC 4, MW, 5:00PM, 6:15PM, Syed Zain  ul Abidin)
(ACCT 100, LEC 5, TR, 9:30AM, 10:45AM, Zainab Mehmood)
(ACCT 100, LEC 6, TR, 2:00PM, 3:15PM, Zainab Mehmood)
(ACCT 100, LEC 7, TR, 3:30PM, 4:45PM, TBA)
(ACCT 130, LEC 1, TR, 9:30AM, 10:45AM, Ayesha Bhatti)
(ACCT 130, LEC 2, TR, 11:00AM, 12:15PM, Ayesha Bhatti)
(ACCT 130, LEC 3, TR, 2:00PM, 3:15PM, Ayesha Bhatti)
(ACCT 130, LEC 4, TR, 3:30PM, 4:45PM, Ayesha Bhatti)
(ACCT 130, LEC 5, TR, 11:00AM, 12:15PM, Mahin Moazzam)
(ACCT 130, LEC 6, TR, 12:30PM, 1:45PM, Mahin Moazzam)
(ACCT 202, LEC 1, MW, 9:30AM, 10:45AM, TBA)
(ACCT 220, LEC 1, TR, 11:00AM, 12:15PM, Samia Ahmed Ali)
(ACCT 220, LEC 2, TR, 12:30PM, 1:45PM, Samia Ahmed Ali)
(ACCT 220, LEC 3, MW, 12:30PM, 1:45PM, Zainab Mehmood)
(ACCT 331, LEC 1, TR, 5:00PM, 6:15PM, TBA)
(ACCT 352, LEC 1, MW, 11:00AM, 12:15PM, TBA)
(ACCT 482, LEC 1, MW, 5:00PM, 6:15PM, Saira Rizwan)
(ACF 2101, LEC 1, MFSU, 4:00PM, 6:00PM, Omair Haroon)
(ACF 2101, LEC 2, MFSU, 2:00PM, 4:00PM, TBA)
(ANTH 100, LEC 1, MW, 4:00PM, 5:50PM, nan)
(ANTH 100, LEC 2, TR, 4:00PM, 5:50PM, Rabia Kamal)
(ANTH 268, LEC 1, MW, 8:00AM, 9:50AM, TBA)
(ANTH 270, LEC 1, TR, 4:00PM, 5:50PM, Lukas Albert Paul Werth)
(ANTH 276, LEC 1, TR, 2:00PM, 3:50PM, Rabia Kamal)
(ANTH 312, LEC 1, MW, 10:00AM, 11:50AM, Lukas Albert Paul Werth)
(ANTH 452, LEC 1, MW, 1:00PM, 2:50PM, Ghazal Asif)
(BIO 101, LEC 1, MW, 4:30PM, 5:45PM, Safee Ullah Chaudhary)
(BIO 216, LEC 1, TR, 10:00AM, 11:15AM, Muhammad Shoaib)
(BIO 221, LEC 1, MW, 10:30AM, 12:20PM, Khurram Bashir)
(BIO 300, LAB 1, MWF, 9:00AM, 9:50AM, Shaper Mirza)
(BIO 300, nan, MWF, 10:00AM, 12:50PM, Khalida Mazhar)
(BIO 313, LEC 1, TR, 11:30AM, 12:45PM, Khurram Bashir)
(BIO 331, LEC 1, MW, 1:30PM, 2:45PM, Safee Ullah Chaudhary)
(BIO 401, SEM 1, F, 2:00PM, 2:50PM, Amir Faisal)
(BIO 403, LEC 1, TR, 2:00PM, 3:15PM, Muhammad Shoaib)
